datum;wahl;ags;gebiet-nr_x;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;SPD 1;SPD 2;CDU 1;CDU 2;Grüne 1;Grüne 2;FDP 1;FDP 2;AfD 1;AfD 2;Die Linke 1;Die Linke 2;FW 1;FW 2;Tier 1;Tier 2;PARTEI 1;PARTEI 2;Volt 1;Volt 2;Hum 1;Hum 2;MLPD 1;MLPD 2;BD 1;BD 2;BSW 1;BSW 2;EMRE;F15;SPD 1%;SPD 2%;CDU 1%;CDU 2%;Grüne 1%;Grüne 2%;FDP 1%;FDP 2%;AfD 1%;AfD 2%;Die Linke 1%;Die Linke 2%;FW 1%;FW 2%;Tier 1%;Tier 2%;PARTEI 1%;PARTEI 2%;Volt 1%;Volt 2%;Hum 1%;Hum 2%;MLPD 1%;MLPD 2%;BD 1%;BD 2%;BSW 1%;BSW 2%;gebiet-nr_y;wk_name
23.02.2025;Bundestagswahl;6412000;91309;913-09;1;1;0;0;0;0;730;730;3;727;1;729;102;92;174;154;261;215;44;62;37;34;69;114;3;1;;7;10;4;26;22;;0;0;0;0.0;1;;23;1.0;;14.03;12.62;23.93;21.12;35.9;29.49;6.05;8.5;5.09;4.66;9.49;15.64;0.41;0.14;;0.96;1.38;0.55;3.58;3.02;;0.0;0.0;0.0;0.0;0.14;;3.16;91309;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91310;913-10;1;1;0;0;0;0;487;487;1;486;0;487;72;72;174;155;133;102;33;56;29;33;18;31;4;3;;4;3;3;18;15;;0;1;0;1.0;0;;13;0.0;;14.81;14.78;35.8;31.83;27.37;20.94;6.79;11.5;5.97;6.78;3.7;6.37;0.82;0.62;;0.82;0.62;0.62;3.7;3.08;;0.0;0.21;0.0;0.21;0.0;;2.67;91310;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91401;914-01;1;1;0;0;0;0;789;789;7;782;5;784;136;123;310;285;127;111;34;53;89;92;49;66;6;2;;7;9;4;20;15;;2;1;0;1.0;1;;23;0.0;;17.39;15.69;39.64;36.35;16.24;14.16;4.35;6.76;11.38;11.73;6.27;8.42;0.77;0.26;;0.89;1.15;0.51;2.56;1.91;;0.26;0.13;0.0;0.13;0.13;;2.93;91401;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91402;914-02;1;1;0;0;0;0;938;938;9;929;5;933;159;169;290;271;253;213;49;60;65;67;65;85;9;6;;9;19;11;18;9;;0;0;1;2.0;1;;31;0.0;;17.12;18.11;31.22;29.05;27.23;22.83;5.27;6.43;7.0;7.18;7.0;9.11;0.97;0.64;;0.96;2.05;1.18;1.94;0.96;;0.0;0.0;0.11;0.22;0.11;;3.32;91402;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91403;914-03;1;1;0;0;0;0;544;544;4;540;0;544;38;38;319;301;83;71;49;67;35;40;5;10;2;1;;5;5;1;2;1;;0;1;1;1.0;0;;8;0.0;;7.04;6.99;59.07;55.33;15.37;13.05;9.07;12.32;6.48;7.35;0.93;1.84;0.37;0.18;;0.92;0.93;0.18;0.37;0.18;;0.0;0.19;0.18;0.19;0.0;;1.47;91403;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91404;914-04;1;1;0;0;0;0;1056;1056;0;1056;6;1050;166;159;405;376;265;227;45;77;78;77;63;78;5;3;;9;6;4;21;12;;0;0;0;1.0;1;;27;1.0;;15.72;15.14;38.35;35.81;25.09;21.62;4.26;7.33;7.39;7.33;5.97;7.43;0.47;0.29;;0.86;0.57;0.38;1.99;1.14;;0.0;0.0;0.0;0.09;0.1;;2.57;91404;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91405;914-05;1;1;0;0;0;0;617;617;3;614;0;617;83;78;198;166;193;168;32;54;38;44;41;73;5;3;;6;6;3;18;10;;0;0;0;0.0;1;;11;0.0;;13.52;12.64;32.25;26.9;31.43;27.23;5.21;8.75;6.19;7.13;6.68;11.83;0.81;0.49;;0.97;0.98;0.49;2.93;1.62;;0.0;0.0;0.0;0.0;0.16;;1.78;91405;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91406;914-06;1;1;0;0;0;0;876;876;3;873;2;874;132;133;286;271;265;220;62;79;56;55;34;63;6;3;;5;9;4;20;15;;1;0;0;3.0;2;;23;0.0;;15.12;15.22;32.76;31.01;30.36;25.17;7.1;9.04;6.41;6.29;3.89;7.21;0.69;0.34;;0.57;1.03;0.46;2.29;1.72;;0.11;0.0;0.0;0.34;0.23;;2.63;91406;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91407;914-07;1;1;0;0;0;0;1182;1182;11;1171;4;1178;164;160;414;385;366;321;96;115;55;64;35;74;3;2;;9;9;4;24;19;;1;0;0;3.0;3;;21;2.0;;14.01;13.58;35.35;32.68;31.26;27.25;8.2;9.76;4.7;5.43;2.99;6.28;0.26;0.17;;0.76;0.77;0.34;2.05;1.61;;0.08;0.0;0.0;0.26;0.25;;1.78;91407;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91408;914-08;1;1;0;0;0;0;1246;1246;5;1241;2;1244;173;182;520;495;313;246;64;97;74;84;56;88;9;7;;4;7;4;18;15;;0;1;0;5.0;3;;19;1.0;;13.94;14.63;41.9;39.79;25.22;19.77;5.16;7.8;5.96;6.75;4.51;7.07;0.73;0.56;;0.32;0.56;0.32;1.45;1.21;;0.0;0.08;0.0;0.4;0.24;;1.53;91408;Messe Frankfurt GmbH Briefwahlauszählung
